20.11.2015,25.11.2015,22:00,-1,975,4
20.11.2015,26.11.2015,1:00,-2,974,3
20.11.2015,26.11.2015,4:00,-2,974,3
20.11.2015,26.11.2015,7:00,-2,974,3
20.11.2015,26.11.2015,10:00,1,974,2
20.11.2015,26.11.2015,13:00,2,974,2
20.11.2015,26.11.2015,16:00,0,974,2
20.11.2015,26.11.2015,19:00,0,974,3
20.11.2015,26.11.2015,22:00,0,974,3
20.11.2015,27.11.2015,1:00,-1,973,3
20.11.2015,27.11.2015,4:00,-1,972,3
20.11.2015,27.11.2015,7:00,-2,972,3
20.11.2015,27.11.2015,10:00,0,973,3
20.11.2015,27.11.2015,13:00,1,972,3
20.11.2015,28.11.2015,Noc,0,973,3
20.11.2015,28.11.2015,Dzień,1,974,3
20.11.2015,29.11.2015,Noc,-3,974,2
20.11.2015,29.11.2015,Dzień,2,970,2
20.11.2015,30.11.2015,Noc,-2,979,4
20.11.2015,30.11.2015,Dzień,2,978,4
20.11.2015,01.12.2015,Noc,2,971,6
20.11.2015,01.12.2015,Dzień,4,972,7
20.11.2015,02.12.2015,Noc,5,974,6
20.11.2015,02.12.2015,Dzień,7,971,3
20.11.2015,03.12.2015,Noc,2,979,2
20.11.2015,03.12.2015,Dzień,6,979,3
20.11.2015,04.12.2015,Noc,5,970,4
20.11.2015,04.12.2015,Dzień,7,974,7
20.11.2015,05.12.2015,Noc,5,971,8
20.11.2015,05.12.2015,Dzień,10,968,6
20.11.2015,06.12.2015,Noc,9,960,7
21.11.2015,21.11.2015,13:00,4,968,6
21.11.2015,21.11.2015,16:00,3,969,3
21.11.2015,21.11.2015,19:00,3,970,2
21.11.2015,21.11.2015,22:00,1,969,2
21.11.2015,22.11.2015,1:00,2,969,1
21.11.2015,22.11.2015,4:00,1,968,1
21.11.2015,22.11.2015,7:00,1,969,1
21.11.2015,22.11.2015,10:00,2,970,2
21.11.2015,22.11.2015,13:00,3,971,3
21.11.2015,22.11.2015,16:00,2,975,2
21.11.2015,22.11.2015,19:00,1,978,3
21.11.2015,22.11.2015,22:00,0,981,3
21.11.2015,23.11.2015,1:00,0,984,4
21.11.2015,23.11.2015,4:00,0,987,6
21.11.2015,23.11.2015,7:00,1,991,5
21.11.2015,23.11.2015,10:00,0,994,4
21.11.2015,23.11.2015,13:00,2,996,4
21.11.2015,23.11.2015,16:00,1,998,2
21.11.2015,23.11.2015,19:00,0,1000,2
21.11.2015,23.11.2015,22:00,-1,1001,1
21.11.2015,24.11.2015,1:00,-2,1002,1
21.11.2015,24.11.2015,4:00,-3,1002,1
21.11.2015,24.11.2015,7:00,-3,1002,2
21.11.2015,24.11.2015,10:00,-2,1001,2
21.11.2015,24.11.2015,13:00,0,999,3
21.11.2015,24.11.2015,16:00,-1,997,3
21.11.2015,24.11.2015,19:00,-3,996,3
21.11.2015,24.11.2015,22:00,-2,985,4
21.11.2015,25.11.2015,1:00,-2,983,4
21.11.2015,25.11.2015,4:00,-2,980,4
21.11.2015,25.11.2015,7:00,-2,978,3
21.11.2015,25.11.2015,10:00,1,977,4
21.11.2015,25.11.2015,13:00,2,975,5
21.11.2015,25.11.2015,16:00,-1,973,4
21.11.2015,25.11.2015,19:00,-1,971,4
21.11.2015,25.11.2015,22:00,-1,968,4
21.11.2015,26.11.2015,1:00,-1,964,5
21.11.2015,26.11.2015,4:00,-1,960,5
21.11.2015,26.11.2015,7:00,0,959,5
21.11.2015,26.11.2015,10:00,2,958,6
21.11.2015,26.11.2015,13:00,3,955,6
21.11.2015,26.11.2015,16:00,1,954,4
21.11.2015,26.11.2015,19:00,1,955,3
21.11.2015,26.11.2015,22:00,-1,956,2
21.11.2015,27.11.2015,1:00,1,959,3
21.11.2015,27.11.2015,4:00,0,961,3
21.11.2015,27.11.2015,7:00,-1,964,4
21.11.2015,27.11.2015,10:00,0,967,4
21.11.2015,27.11.2015,13:00,1,969,5
21.11.2015,27.11.2015,16:00,1,970,5
21.11.2015,27.11.2015,19:00,1,972,5
21.11.2015,27.11.2015,22:00,1,974,6
21.11.2015,28.11.2015,1:00,1,975,6
21.11.2015,28.11.2015,4:00,1,976,5
21.11.2015,28.11.2015,7:00,0,978,4
21.11.2015,28.11.2015,10:00,1,978,3
21.11.2015,28.11.2015,13:00,1,978,3
21.11.2015,29.11.2015,Noc,0,976,4
21.11.2015,29.11.2015,Dzień,3,977,4
21.11.2015,30.11.2015,Noc,3,973,9
21.11.2015,30.11.2015,Dzień,6,964,13
21.11.2015,01.12.2015,Noc,3,952,8
21.11.2015,01.12.2015,Dzień,2,950,11
21.11.2015,02.12.2015,Noc,1,962,7
21.11.2015,02.12.2015,Dzień,6,944,12
21.11.2015,03.12.2015,Noc,3,952,13
21.11.2015,03.12.2015,Dzień,4,954,13
21.11.2015,04.12.2015,Noc,2,965,10
21.11.2015,04.12.2015,Dzień,2,968,7
21.11.2015,05.12.2015,Noc,1,972,6
